2021-05-09 12:22:21,271 Epoch 0 	 Loss 1.0572701817030434
2021-05-09 12:23:38,035 Epoch 1 	 Loss 0.8913298504693168
2021-05-09 12:24:54,976 Epoch 2 	 Loss 0.8427574962050051
2021-05-09 12:26:11,915 Epoch 3 	 Loss 0.7984460192722279
2021-05-09 12:27:28,758 Epoch 4 	 Loss 0.7826803942303081
2021-05-09 12:28:45,740 Epoch 5 	 Loss 0.747125254555063
2021-05-09 12:30:02,609 Epoch 6 	 Loss 0.7409391324598711
2021-05-09 12:31:19,517 Epoch 7 	 Loss 0.7304115079261444
2021-05-09 12:32:36,334 Epoch 8 	 Loss 0.72195042686148
2021-05-09 12:33:53,116 Epoch 9 	 Loss 0.7068110134575393
2021-05-09 12:35:09,977 Epoch 10 	 Loss 0.7187984330313546
2021-05-09 12:36:26,918 Epoch 11 	 Loss 0.7114461418036576
2021-05-09 12:37:43,897 Epoch 12 	 Loss 0.689680549469623
2021-05-09 12:39:00,722 Epoch 13 	 Loss 0.6773168863830986
2021-05-09 12:40:17,545 Epoch 14 	 Loss 0.6643075802169003
2021-05-09 12:41:34,335 Epoch 15 	 Loss 0.6588088614600045
2021-05-09 12:42:51,173 Epoch 16 	 Loss 0.6447052945802499
2021-05-09 12:44:08,012 Epoch 17 	 Loss 0.6588404591266925
2021-05-09 12:45:24,892 Epoch 18 	 Loss 0.6597435176372528
2021-05-09 12:46:41,694 Epoch 19 	 Loss 0.6630852726789621
2021-05-09 12:47:58,636 Epoch 20 	 Loss 0.660709159714835
2021-05-09 12:49:15,661 Epoch 21 	 Loss 0.648215943967903
2021-05-09 12:50:32,570 Epoch 22 	 Loss 0.6412334746711856
2021-05-09 12:51:49,483 Epoch 23 	 Loss 0.6337331602206597
2021-05-09 12:53:06,581 Epoch 24 	 Loss 0.629650109744334
2021-05-09 12:54:23,438 Epoch 25 	 Loss 0.6335646903121864
2021-05-09 12:55:40,470 Epoch 26 	 Loss 0.6354931763240269
2021-05-09 12:56:57,766 Epoch 27 	 Loss 0.626786354806397
2021-05-09 12:58:14,852 Epoch 28 	 Loss 0.6169857526873495
2021-05-09 12:59:32,006 Epoch 29 	 Loss 0.5951328745910099
2021-05-09 13:00:49,185 Epoch 30 	 Loss 0.6090094502810594
2021-05-09 13:02:06,295 Epoch 31 	 Loss 0.6162050788874155
2021-05-09 13:03:23,247 Epoch 32 	 Loss 0.6059623023310861
2021-05-09 13:04:40,118 Epoch 33 	 Loss 0.60877425297276
2021-05-09 13:05:57,064 Epoch 34 	 Loss 0.5862708343909337
2021-05-09 13:07:14,585 Epoch 35 	 Loss 0.5896154799304165
2021-05-09 13:08:32,641 Epoch 36 	 Loss 0.5871679082021608
2021-05-09 13:09:52,032 Epoch 37 	 Loss 0.5718212101485703
2021-05-09 13:11:10,857 Epoch 38 	 Loss 0.5707179072139027
2021-05-09 13:12:29,155 Epoch 39 	 Loss 0.5628837923427205
