2021-04-19 19:34:09,232 Epoch 0 	 Loss 0.6768671292197573
2021-04-19 19:34:55,450 Epoch 1 	 Loss 0.48300391615747096
2021-04-19 19:35:41,537 Epoch 2 	 Loss 0.42386293222943505
2021-04-19 19:36:27,885 Epoch 3 	 Loss 0.4032416080053036
2021-04-19 19:37:14,262 Epoch 4 	 Loss 0.38184582311045995
2021-04-19 19:38:00,613 Epoch 5 	 Loss 0.358600320314968
2021-04-19 19:38:47,207 Epoch 6 	 Loss 0.3523555475768152
2021-04-19 19:39:33,865 Epoch 7 	 Loss 0.34206870124562755
2021-04-19 19:40:20,445 Epoch 8 	 Loss 0.3366680975471224
2021-04-19 19:41:07,078 Epoch 9 	 Loss 0.32622550084040713
2021-04-19 19:41:53,888 Epoch 10 	 Loss 0.3229976208000393
2021-04-19 19:42:40,328 Epoch 11 	 Loss 0.3024195536643594
2021-04-19 19:43:26,919 Epoch 12 	 Loss 0.29937397295629586
2021-04-19 19:44:13,716 Epoch 13 	 Loss 0.3071274658317094
2021-04-19 19:45:00,237 Epoch 14 	 Loss 0.29708963124961646
2021-04-19 19:45:46,767 Epoch 15 	 Loss 0.29751090017648846
2021-04-19 19:46:33,425 Epoch 16 	 Loss 0.29243235232738346
2021-04-19 19:47:19,972 Epoch 17 	 Loss 0.2787957442822037
2021-04-19 19:48:06,436 Epoch 18 	 Loss 0.27998821658420037
2021-04-19 19:48:52,989 Epoch 19 	 Loss 0.28032085364991494
2021-04-19 19:49:39,433 Epoch 20 	 Loss 0.2831106648504079
2021-04-19 19:50:25,986 Epoch 21 	 Loss 0.28037999930617574
2021-04-19 19:51:12,467 Epoch 22 	 Loss 0.2650175067585903
2021-04-19 19:51:58,977 Epoch 23 	 Loss 0.2647331158047194
2021-04-19 19:52:45,628 Epoch 24 	 Loss 0.26712009408971765
2021-04-19 19:53:32,290 Epoch 25 	 Loss 0.26159856967873624
2021-04-19 19:54:18,757 Epoch 26 	 Loss 0.25588949008302375
2021-04-19 19:55:05,290 Epoch 27 	 Loss 0.2507245543893877
2021-04-19 19:55:51,792 Epoch 28 	 Loss 0.2416585134444656
2021-04-19 19:56:38,330 Epoch 29 	 Loss 0.2540955717092032
2021-04-19 19:57:24,876 Epoch 30 	 Loss 0.24499425889699014
2021-04-19 19:58:11,405 Epoch 31 	 Loss 0.24963463507183306
2021-04-19 19:58:57,871 Epoch 32 	 Loss 0.23888465393703062
2021-04-19 19:59:44,243 Epoch 33 	 Loss 0.2454503126196809
2021-04-19 20:00:30,775 Epoch 34 	 Loss 0.23456603509711696
2021-04-19 20:01:17,282 Epoch 35 	 Loss 0.22842066964277855
2021-04-19 20:02:03,910 Epoch 36 	 Loss 0.22964791658815448
2021-04-19 20:02:51,605 Epoch 37 	 Loss 0.2259164543433504
2021-04-19 20:03:39,719 Epoch 38 	 Loss 0.23098348187548773
2021-04-19 20:04:28,791 Epoch 39 	 Loss 0.22360207230507673
2021-04-19 20:05:15,977 Epoch 40 	 Loss 0.22631467674132233
2021-04-19 20:06:03,252 Epoch 41 	 Loss 0.2201071614092523
2021-04-19 20:06:52,130 Epoch 42 	 Loss 0.22917149658059024
2021-04-19 20:07:40,840 Epoch 43 	 Loss 0.22147398335593088
2021-04-19 20:08:28,190 Epoch 44 	 Loss 0.21601534426048563
2021-04-19 20:09:15,618 Epoch 45 	 Loss 0.21746413442459736
2021-04-19 20:10:04,044 Epoch 46 	 Loss 0.2121814855343693
2021-04-19 20:10:51,910 Epoch 47 	 Loss 0.21088753100279922
2021-04-19 20:11:39,859 Epoch 48 	 Loss 0.2065655034813252
