2021-04-18 21:23:57,043 Epoch 0 	 Loss 1.1215571017710717
2021-04-18 21:25:00,209 Epoch 1 	 Loss 1.0184226140871153
2021-04-18 21:26:03,968 Epoch 2 	 Loss 0.951797828242019
2021-04-18 21:27:01,486 Epoch 3 	 Loss 0.8802569423403058
2021-04-18 21:28:03,480 Epoch 4 	 Loss 0.8109551388156283
2021-04-18 21:29:07,468 Epoch 5 	 Loss 0.7593506911953727
2021-04-18 21:30:11,789 Epoch 6 	 Loss 0.6980340893451984
2021-04-18 21:31:14,931 Epoch 7 	 Loss 0.6637239926136457
2021-04-18 21:32:16,931 Epoch 8 	 Loss 0.6477699879106584
2021-04-18 21:33:10,160 Epoch 9 	 Loss 0.6290717796309964
2021-04-18 21:34:10,644 Epoch 10 	 Loss 0.5953606485010503
2021-04-18 21:35:12,079 Epoch 11 	 Loss 0.5791503312168541
2021-04-18 21:36:12,817 Epoch 12 	 Loss 0.5633487360818046
2021-04-18 21:37:15,044 Epoch 13 	 Loss 0.5413491065194319
2021-04-18 21:38:07,539 Epoch 14 	 Loss 0.5372182857040521
2021-04-18 21:39:10,409 Epoch 15 	 Loss 0.5433537224819373
2021-04-18 21:40:13,328 Epoch 16 	 Loss 0.5292297383913627
2021-04-18 21:41:15,374 Epoch 17 	 Loss 0.513830976990553
2021-04-18 21:42:16,713 Epoch 18 	 Loss 0.5106445876779137
2021-04-18 21:43:19,032 Epoch 19 	 Loss 0.49245283809991985
2021-04-18 21:44:12,652 Epoch 20 	 Loss 0.49657422525214623
2021-04-18 21:45:14,334 Epoch 21 	 Loss 0.48654355059613236
2021-04-18 21:46:16,275 Epoch 22 	 Loss 0.47467121400020934
2021-04-18 21:47:17,172 Epoch 23 	 Loss 0.4621081559376402
2021-04-18 21:48:17,453 Epoch 24 	 Loss 0.4604312382065333
2021-04-18 21:49:10,242 Epoch 25 	 Loss 0.4626362023281527
2021-04-18 21:50:10,268 Epoch 26 	 Loss 0.44917776476550886
2021-04-18 21:51:10,090 Epoch 27 	 Loss 0.4541402735061698
2021-04-18 21:52:09,884 Epoch 28 	 Loss 0.4402010549719517
2021-04-18 21:53:09,665 Epoch 29 	 Loss 0.44129852049953333
2021-04-18 21:54:09,357 Epoch 30 	 Loss 0.43027810973452996
