2021-04-14 22:25:51,421 Epoch 0 	 Loss 1.135396537544963
2021-04-14 22:28:51,247 Epoch 1 	 Loss 0.9980895185208583
2021-04-14 22:31:52,820 Epoch 2 	 Loss 0.9160639886017684
2021-04-14 22:34:52,910 Epoch 3 	 Loss 0.8510369216347788
2021-04-14 22:37:55,154 Epoch 4 	 Loss 0.7819120955991221
2021-04-14 22:40:58,002 Epoch 5 	 Loss 0.7064368991733907
2021-04-14 22:43:58,746 Epoch 6 	 Loss 0.6602290069663918
2021-04-14 22:47:01,504 Epoch 7 	 Loss 0.6233070240570948
2021-04-14 22:50:04,237 Epoch 8 	 Loss 0.5891112932464578
2021-04-14 22:53:05,708 Epoch 9 	 Loss 0.5359494599339726
2021-04-14 22:56:05,827 Epoch 10 	 Loss 0.5039949457232769
2021-04-14 22:59:08,270 Epoch 11 	 Loss 0.49427918713171404
2021-04-14 23:02:07,603 Epoch 12 	 Loss 0.46739865839481354
2021-04-14 23:05:09,897 Epoch 13 	 Loss 0.4257291731434864
2021-04-14 23:08:07,835 Epoch 14 	 Loss 0.425449570784202
2021-04-14 23:11:07,389 Epoch 15 	 Loss 0.3933141935657669
2021-04-14 23:14:05,361 Epoch 16 	 Loss 0.3764269413365113
2021-04-14 23:17:06,393 Epoch 17 	 Loss 0.37326267042330336
2021-04-14 23:20:04,475 Epoch 18 	 Loss 0.3478347286581993
2021-04-14 23:23:04,099 Epoch 19 	 Loss 0.31628390491663755
2021-04-14 23:26:02,200 Epoch 20 	 Loss 0.32171047020416993
2021-04-14 23:29:01,927 Epoch 21 	 Loss 0.2808493997205745
2021-04-14 23:31:59,993 Epoch 22 	 Loss 0.27773865500649253
2021-04-14 23:34:59,781 Epoch 23 	 Loss 0.2548615207875168
2021-04-14 23:37:57,826 Epoch 24 	 Loss 0.27145554763930185
2021-04-14 23:40:57,491 Epoch 25 	 Loss 0.24381167613542998
2021-04-14 23:43:55,495 Epoch 26 	 Loss 0.2148980904002111
2021-04-14 23:46:55,254 Epoch 27 	 Loss 0.20633714445508444
2021-04-14 23:49:53,489 Epoch 28 	 Loss 0.19481427275708743
2021-04-14 23:52:53,218 Epoch 29 	 Loss 0.19255653064657044
2021-04-14 23:55:51,261 Epoch 30 	 Loss 0.1684764482817807
2021-04-14 23:58:50,971 Epoch 31 	 Loss 0.16554392350244
2021-04-15 00:01:48,803 Epoch 32 	 Loss 0.17443166308841862
2021-04-15 00:04:49,333 Epoch 33 	 Loss 0.15103181193654353
2021-04-15 00:07:47,406 Epoch 34 	 Loss 0.15320670174864623
2021-04-15 00:10:47,659 Epoch 35 	 Loss 0.1463435207094465
2021-04-15 00:13:45,631 Epoch 36 	 Loss 0.13707888810025468
2021-04-15 00:16:45,210 Epoch 37 	 Loss 0.1355679248879244
2021-04-15 00:19:43,154 Epoch 38 	 Loss 0.13067022797006828
2021-04-15 00:22:42,762 Epoch 39 	 Loss 0.11598179886465544
2021-04-15 00:25:40,646 Epoch 40 	 Loss 0.11619556994064824
2021-04-15 06:29:42,961 Epoch 41 	 Loss 0.10838478250981687
2021-04-15 06:32:40,635 Epoch 42 	 Loss 0.11862932350281831
2021-04-15 06:35:38,544 Epoch 43 	 Loss 0.10295195816146148
2021-04-15 06:38:36,597 Epoch 44 	 Loss 0.0979826509297549
2021-04-15 06:41:36,142 Epoch 45 	 Loss 0.09231404849624895
2021-04-15 06:44:34,137 Epoch 46 	 Loss 0.08993984341293901
2021-04-15 06:47:32,585 Epoch 47 	 Loss 0.08596245592439568
2021-04-15 06:50:30,669 Epoch 48 	 Loss 0.08571232102074466
2021-04-15 06:53:28,960 Epoch 49 	 Loss 0.08192115649580956
2021-04-15 06:56:26,998 Epoch 50 	 Loss 0.07873203584944809
2021-04-15 06:59:25,013 Epoch 51 	 Loss 0.07423904401014794
2021-04-15 07:02:22,975 Epoch 52 	 Loss 0.07382263198167413
2021-04-15 07:05:20,955 Epoch 53 	 Loss 0.07672136219648215
2021-04-15 07:08:18,797 Epoch 54 	 Loss 0.10325370552939372
2021-04-15 07:11:16,572 Epoch 55 	 Loss 0.07816569986087936
2021-04-15 07:14:14,402 Epoch 56 	 Loss 0.06670783535874152
2021-04-15 07:17:12,174 Epoch 57 	 Loss 0.06295198775254764
2021-04-15 07:20:09,881 Epoch 58 	 Loss 0.0619155899058659
2021-04-15 07:23:07,680 Epoch 59 	 Loss 0.05934051790653349
2021-04-15 07:26:05,522 Epoch 60 	 Loss 0.05750232834655505
2021-04-15 07:29:03,396 Epoch 61 	 Loss 0.05623149192267722
2021-04-15 07:32:01,047 Epoch 62 	 Loss 0.055111456457730176
2021-04-15 07:34:58,788 Epoch 63 	 Loss 0.05417485946564229
2021-04-15 07:37:56,493 Epoch 64 	 Loss 0.05378243316906494
2021-04-15 07:40:54,728 Epoch 65 	 Loss 0.05251837380557925
2021-04-15 07:43:52,436 Epoch 66 	 Loss 0.049883122074898784
2021-04-15 07:46:50,221 Epoch 67 	 Loss 0.04846383137935466
2021-04-15 07:49:47,997 Epoch 68 	 Loss 0.04823770912384594
2021-04-15 07:52:45,967 Epoch 69 	 Loss 0.04833110307271664
2021-04-15 07:55:43,669 Epoch 70 	 Loss 0.04629585971789701
2021-04-15 07:58:41,882 Epoch 71 	 Loss 0.04534189362119842
2021-04-15 08:01:39,632 Epoch 72 	 Loss 0.04456481793997707
2021-04-15 08:04:37,821 Epoch 73 	 Loss 0.04366711392016201
2021-04-15 08:07:35,650 Epoch 74 	 Loss 0.043055309842412286
2021-04-15 08:10:33,611 Epoch 75 	 Loss 0.0426495276841816
2021-04-15 08:13:31,484 Epoch 76 	 Loss 0.04161230450148111
2021-04-15 08:16:29,666 Epoch 77 	 Loss 0.042200324013010486
2021-04-15 08:19:27,532 Epoch 78 	 Loss 0.04070598267755666
2021-04-15 08:22:25,803 Epoch 79 	 Loss 0.04028716994510902
2021-04-15 08:25:23,635 Epoch 80 	 Loss 0.04037799524491305
2021-04-15 08:28:21,499 Epoch 81 	 Loss 0.03922172691058982
2021-04-15 08:31:19,478 Epoch 82 	 Loss 0.0387971446040895
2021-04-15 08:34:17,487 Epoch 83 	 Loss 0.03851625607809522
2021-04-15 08:37:15,212 Epoch 84 	 Loss 0.038394258552036445
2021-04-15 08:40:13,363 Epoch 85 	 Loss 0.03817022301174782
2021-04-15 08:43:11,352 Epoch 86 	 Loss 0.03808953062436738
2021-04-15 08:46:09,132 Epoch 87 	 Loss 0.03748901575230635
2021-04-15 08:49:06,984 Epoch 88 	 Loss 0.03734991429271279
2021-04-15 08:52:05,038 Epoch 89 	 Loss 0.03706491122452112
2021-04-15 08:55:03,008 Epoch 90 	 Loss 0.03733133901279051
2021-04-15 08:58:00,785 Epoch 91 	 Loss 0.03733090282632755
2021-04-15 09:00:58,529 Epoch 92 	 Loss 0.03669837221585132
2021-04-15 09:03:56,612 Epoch 93 	 Loss 0.036560665959349044
2021-04-15 09:06:54,505 Epoch 94 	 Loss 0.036373603741055006
2021-04-15 09:09:52,893 Epoch 95 	 Loss 0.036251173016952944
2021-04-15 09:12:50,703 Epoch 96 	 Loss 0.0363434354191298
2021-04-15 09:15:48,767 Epoch 97 	 Loss 0.036263090026165755
2021-04-15 09:18:46,575 Epoch 98 	 Loss 0.03635826338450987
2021-04-15 09:21:44,457 Epoch 99 	 Loss 0.036260840841210805
