2021-04-11 08:48:29,938 Epoch 0 	 Loss 0.8674517273902893
2021-04-11 08:48:32,492 Epoch 1 	 Loss 0.8783968687057495
2021-04-11 08:48:35,080 Epoch 2 	 Loss 0.8675798177719116
2021-04-11 08:48:37,642 Epoch 3 	 Loss 0.8699226379394531
2021-04-11 08:48:40,252 Epoch 4 	 Loss 0.8797993659973145
2021-04-11 08:48:42,838 Epoch 5 	 Loss 0.8692108392715454
2021-04-11 08:48:45,422 Epoch 6 	 Loss 0.8916826248168945
2021-04-11 08:48:47,981 Epoch 7 	 Loss 0.8659846186637878
2021-04-11 08:48:50,582 Epoch 8 	 Loss 0.8862885236740112
2021-04-11 08:48:53,140 Epoch 9 	 Loss 0.8910612463951111
2021-04-11 08:48:55,720 Epoch 10 	 Loss 0.8861426115036011
2021-04-11 08:48:58,248 Epoch 11 	 Loss 0.8720229864120483
2021-04-11 08:49:00,815 Epoch 12 	 Loss 0.8900173306465149
2021-04-11 08:49:03,391 Epoch 13 	 Loss 0.8925251960754395
2021-04-11 08:49:05,984 Epoch 14 	 Loss 0.8688057661056519
2021-04-11 08:49:08,543 Epoch 15 	 Loss 0.893222987651825
2021-04-11 08:49:11,095 Epoch 16 	 Loss 0.9313429594039917
2021-04-11 08:49:13,734 Epoch 17 	 Loss 0.9326821565628052
2021-04-11 08:49:16,303 Epoch 18 	 Loss 0.9052683115005493
2021-04-11 08:49:18,877 Epoch 19 	 Loss 0.8918489217758179
2021-04-11 08:49:21,434 Epoch 20 	 Loss 0.870596170425415
2021-04-11 08:49:23,996 Epoch 21 	 Loss 0.8453083038330078
2021-04-11 08:59:21,000 Epoch 0 	 Loss 0.617855429649353
2021-04-11 08:59:23,564 Epoch 1 	 Loss 0.5953582525253296
2021-04-11 08:59:26,161 Epoch 2 	 Loss 0.5812512636184692
2021-04-11 08:59:28,733 Epoch 3 	 Loss 0.633413553237915
2021-04-11 08:59:31,368 Epoch 4 	 Loss 0.5976147651672363
2021-04-11 08:59:33,944 Epoch 5 	 Loss 0.5843088626861572
2021-04-11 08:59:36,507 Epoch 6 	 Loss 0.645254373550415
2021-04-11 08:59:39,108 Epoch 7 	 Loss 0.5830764174461365
2021-04-11 08:59:41,754 Epoch 8 	 Loss 0.6248427629470825
2021-04-11 08:59:44,394 Epoch 9 	 Loss 0.6306548118591309
2021-04-11 08:59:47,074 Epoch 10 	 Loss 0.6332820653915405
2021-04-11 08:59:49,656 Epoch 11 	 Loss 0.5825172662734985
2021-04-11 08:59:52,272 Epoch 12 	 Loss 0.603201150894165
2021-04-11 08:59:54,880 Epoch 13 	 Loss 0.6552821397781372
2021-04-11 08:59:57,517 Epoch 14 	 Loss 0.6312358379364014
2021-04-11 09:00:00,085 Epoch 15 	 Loss 0.6042527556419373
2021-04-11 09:00:02,694 Epoch 16 	 Loss 0.6303447484970093
2021-04-11 09:00:05,366 Epoch 17 	 Loss 0.6098847985267639
2021-04-11 09:00:07,962 Epoch 18 	 Loss 0.6180099248886108
2021-04-11 09:00:10,625 Epoch 19 	 Loss 0.6011009216308594
2021-04-11 09:00:13,218 Epoch 20 	 Loss 0.6399824619293213
2021-04-11 09:00:15,857 Epoch 21 	 Loss 0.6666461229324341
2021-04-11 09:00:18,475 Epoch 22 	 Loss 0.5747635364532471
2021-04-11 09:00:21,168 Epoch 23 	 Loss 0.6348699927330017
2021-04-11 09:00:23,914 Epoch 24 	 Loss 0.6166924238204956
2021-04-11 09:00:26,572 Epoch 25 	 Loss 0.600114107131958
2021-04-11 09:00:29,242 Epoch 26 	 Loss 0.6055039763450623
2021-04-11 09:00:32,048 Epoch 27 	 Loss 0.5992648601531982
2021-04-11 09:00:34,803 Epoch 28 	 Loss 0.580302357673645
2021-04-11 09:13:38,930 Epoch 0 	 Loss 0.617855429649353
2021-04-11 09:13:41,450 Epoch 1 	 Loss 0.5953582525253296
2021-04-11 09:19:01,266 Epoch 0 	 Loss 0.6148298841256362
2021-04-11 09:26:05,938 Epoch 0 	 Loss 0.6024899895374591
2021-04-11 09:28:54,064 Epoch 1 	 Loss 0.5784910249186086
2021-04-11 09:31:43,273 Epoch 2 	 Loss 0.5607457214986885
2021-04-11 09:34:32,285 Epoch 3 	 Loss 0.5416690541820212
2021-04-11 09:37:20,815 Epoch 4 	 Loss 0.5254230572954639
2021-04-11 09:40:08,472 Epoch 5 	 Loss 0.5116040023801091
2021-04-11 09:42:56,273 Epoch 6 	 Loss 0.5007298249792267
2021-04-11 09:45:44,471 Epoch 7 	 Loss 0.4910219480375667
2021-04-11 09:48:33,553 Epoch 8 	 Loss 0.48100509912103084
2021-04-11 09:51:23,963 Epoch 9 	 Loss 0.4734112477892048
2021-04-11 09:54:14,322 Epoch 10 	 Loss 0.4659896114697823
2021-04-11 09:57:03,431 Epoch 11 	 Loss 0.4595647107113849
2021-04-11 10:02:49,304 Epoch 0 	 Loss 0.6024899895374591
