2021-04-10 23:24:56,386 Epoch 0 	 Loss 1.6188430268685896
2021-04-11 08:27:24,089 Epoch 0 	 Loss 1.7574903964996338
2021-04-11 08:27:27,323 Epoch 1 	 Loss 1.8017381429672241
2021-04-11 08:27:30,686 Epoch 2 	 Loss 1.7872223854064941
2021-04-11 08:27:33,739 Epoch 3 	 Loss 1.7470433712005615
2021-04-11 08:28:27,148 Epoch 0 	 Loss 1.7574903964996338
2021-04-11 08:28:29,773 Epoch 1 	 Loss 1.8017381429672241
2021-04-11 08:28:32,370 Epoch 2 	 Loss 1.7872223854064941
2021-04-11 08:28:34,943 Epoch 3 	 Loss 1.7470433712005615
2021-04-11 08:28:37,693 Epoch 4 	 Loss 1.7777626514434814
2021-04-11 08:28:40,541 Epoch 5 	 Loss 1.7931582927703857
2021-04-11 08:28:43,282 Epoch 6 	 Loss 1.732270359992981
2021-04-11 08:28:46,091 Epoch 7 	 Loss 1.7671794891357422
2021-04-11 08:28:48,902 Epoch 8 	 Loss 1.7626051902770996
2021-04-11 08:28:51,704 Epoch 9 	 Loss 1.7710617780685425
2021-04-11 08:28:54,530 Epoch 10 	 Loss 1.7679204940795898
2021-04-11 08:28:57,417 Epoch 11 	 Loss 1.7604303359985352
2021-04-11 08:29:00,416 Epoch 12 	 Loss 1.7538117170333862
2021-04-11 08:29:03,364 Epoch 13 	 Loss 1.7785561084747314
2021-04-11 08:29:06,351 Epoch 14 	 Loss 1.727652907371521
2021-04-11 08:29:09,365 Epoch 15 	 Loss 1.785139799118042
2021-04-11 08:29:12,193 Epoch 16 	 Loss 1.7737088203430176
2021-04-11 08:29:14,995 Epoch 17 	 Loss 1.7805371284484863
2021-04-11 08:29:17,662 Epoch 18 	 Loss 1.8015788793563843
2021-04-11 08:29:20,521 Epoch 19 	 Loss 1.778836965560913
2021-04-11 08:29:23,387 Epoch 20 	 Loss 1.7328238487243652
2021-04-11 08:29:26,172 Epoch 21 	 Loss 1.707674264907837
2021-04-11 08:29:28,958 Epoch 22 	 Loss 1.7519090175628662
2021-04-11 08:29:31,778 Epoch 23 	 Loss 1.7609450817108154
2021-04-11 10:06:06,737 Epoch 0 	 Loss 1.4377647035724515
2021-04-11 10:08:55,307 Epoch 1 	 Loss 1.414157910661383
2021-04-11 10:11:46,024 Epoch 2 	 Loss 1.39638535793011
2021-04-11 10:14:35,709 Epoch 3 	 Loss 1.377371296122834
2021-04-11 10:17:26,083 Epoch 4 	 Loss 1.3609911733931237
2021-04-11 10:20:15,710 Epoch 5 	 Loss 1.3479829129281935
2021-04-11 10:23:06,680 Epoch 6 	 Loss 1.3378747223497747
