2021-04-11 16:55:06,532 Epoch 0 	 Loss 0.7248451277449891
2021-04-11 16:56:55,591 Epoch 1 	 Loss 0.690602692928943
2021-04-11 16:58:42,171 Epoch 2 	 Loss 0.6623230075443184
2021-04-11 17:00:29,831 Epoch 3 	 Loss 0.6396834421288836
2021-04-11 17:02:19,316 Epoch 4 	 Loss 0.6218499292384138
2021-04-11 17:04:03,655 Epoch 5 	 Loss 0.6077249669111692
2021-04-11 17:05:48,463 Epoch 6 	 Loss 0.5963465260280357
2021-04-11 17:07:37,846 Epoch 7 	 Loss 0.5870083151282844
2021-04-11 17:09:19,090 Epoch 8 	 Loss 0.5790103896633609
2021-04-11 17:11:00,405 Epoch 9 	 Loss 0.5719498847867106
2021-04-11 17:12:41,712 Epoch 10 	 Loss 0.5655426419043279
2021-04-11 17:14:23,017 Epoch 11 	 Loss 0.5596123668518695
2021-04-11 17:16:04,283 Epoch 12 	 Loss 0.5539987123274541
2021-04-11 17:17:45,610 Epoch 13 	 Loss 0.5485619499788179
2021-04-11 17:19:26,855 Epoch 14 	 Loss 0.543357714846894
2021-04-11 17:21:08,439 Epoch 15 	 Loss 0.5382580269169022
2021-04-11 17:22:59,464 Epoch 16 	 Loss 0.5332690323447133
2021-04-11 17:24:53,758 Epoch 17 	 Loss 0.5283743129981743
2021-04-11 17:26:48,116 Epoch 18 	 Loss 0.523556513445718
2021-04-11 17:28:42,528 Epoch 19 	 Loss 0.51880350119465
2021-04-11 17:30:37,014 Epoch 20 	 Loss 0.5140847910891523
2021-04-11 17:32:31,545 Epoch 21 	 Loss 0.5094442223454569
2021-04-11 17:34:26,070 Epoch 22 	 Loss 0.5048723921671019
2021-04-11 17:36:20,383 Epoch 23 	 Loss 0.5003110720561101
2021-04-11 17:38:14,740 Epoch 24 	 Loss 0.49576842375509034
2021-04-11 17:40:09,477 Epoch 25 	 Loss 0.49124589300417637
2021-04-11 17:42:04,290 Epoch 26 	 Loss 0.4867274433701903
2021-04-11 17:43:58,988 Epoch 27 	 Loss 0.4821998185508854
2021-04-11 17:45:53,714 Epoch 28 	 Loss 0.47763798787043643
2021-04-11 17:47:48,079 Epoch 29 	 Loss 0.47305186567725716
2021-04-11 17:49:42,514 Epoch 30 	 Loss 0.4684551404072688
2021-04-11 17:51:36,803 Epoch 31 	 Loss 0.4638040722398968
2021-04-11 17:53:31,007 Epoch 32 	 Loss 0.4590818046868502
2021-04-11 17:55:23,073 Epoch 33 	 Loss 0.454325047823099
2021-04-11 17:57:18,255 Epoch 34 	 Loss 0.44949660343783243
2021-04-11 17:59:11,065 Epoch 35 	 Loss 0.44464071815485484
2021-04-11 18:01:01,502 Epoch 36 	 Loss 0.4397655542080219
2021-04-11 18:02:49,561 Epoch 37 	 Loss 0.4348496052917543
2021-04-11 18:04:32,222 Epoch 38 	 Loss 0.42991896988926354
2021-04-11 18:06:20,933 Epoch 39 	 Loss 0.4250121404836466
2021-04-11 18:08:10,450 Epoch 40 	 Loss 0.42015205503820063
2021-04-11 18:10:00,399 Epoch 41 	 Loss 0.415327135186929
2021-04-11 18:11:51,344 Epoch 42 	 Loss 0.41054909013129853
2021-04-11 18:13:41,059 Epoch 43 	 Loss 0.40581285052902094
2021-04-11 18:15:30,757 Epoch 44 	 Loss 0.4011532582424499
2021-04-11 18:17:20,759 Epoch 45 	 Loss 0.3965887705703358
2021-04-11 18:19:10,621 Epoch 46 	 Loss 0.3920853390143468
2021-04-11 18:21:00,589 Epoch 47 	 Loss 0.38767536344764
2021-04-11 18:22:50,625 Epoch 48 	 Loss 0.38334837555885315
2021-04-11 18:24:40,403 Epoch 49 	 Loss 0.3791044023665753
2021-04-11 18:26:30,555 Epoch 50 	 Loss 0.3749670949611035
2021-04-11 18:28:21,333 Epoch 51 	 Loss 0.3709582026515688
2021-04-11 18:30:12,882 Epoch 52 	 Loss 0.3670690172648692
2021-04-11 18:49:18,776 Epoch 53 	 Loss 0.4829743250713244
2021-04-11 18:51:00,367 Epoch 54 	 Loss 0.4562966651641406
2021-04-11 18:52:41,837 Epoch 55 	 Loss 0.445432369361867
2021-04-11 18:54:23,533 Epoch 56 	 Loss 0.4381601527169511
2021-04-11 18:56:05,107 Epoch 57 	 Loss 0.4324796993981351
2021-04-11 18:57:46,780 Epoch 58 	 Loss 0.42766366276767226
2021-04-11 18:59:28,404 Epoch 59 	 Loss 0.42340479480041254
2021-04-11 19:01:10,016 Epoch 60 	 Loss 0.41952113807201385
2021-04-11 19:02:51,582 Epoch 61 	 Loss 0.41591217737276476
2021-04-11 19:04:33,127 Epoch 62 	 Loss 0.41250626808339425
2021-04-11 19:06:14,738 Epoch 63 	 Loss 0.40922819732964694
2021-04-11 19:07:56,306 Epoch 64 	 Loss 0.4060765350912953
2021-04-11 19:09:37,907 Epoch 65 	 Loss 0.4030752832090462
2021-04-11 19:11:19,493 Epoch 66 	 Loss 0.4001829458789511
2021-04-11 19:13:01,051 Epoch 67 	 Loss 0.39742228339661606
