2021-04-11 10:29:44,052 Epoch 0 	 Loss 1.7511376712348434
2021-04-11 10:55:03,247 Epoch 0 	 Loss 1.472474475483318
2021-04-11 11:01:55,883 Epoch 0 	 Loss 1.7511013444963393
2021-04-11 11:04:16,591 Epoch 1 	 Loss 1.709224019731794
2021-04-11 11:06:36,931 Epoch 2 	 Loss 1.6700895382807806
2021-04-11 11:08:56,334 Epoch 3 	 Loss 1.6351468281431512
2021-04-11 11:11:15,736 Epoch 4 	 Loss 1.6042259604066282
2021-04-11 11:13:35,080 Epoch 5 	 Loss 1.5785207414365077
2021-04-11 11:15:54,448 Epoch 6 	 Loss 1.5571492144039698
2021-04-11 11:18:13,889 Epoch 7 	 Loss 1.5379315948748327
2021-04-11 11:20:33,339 Epoch 8 	 Loss 1.5234574793459295
2021-04-11 11:22:52,708 Epoch 9 	 Loss 1.5106254757105648
2021-04-11 11:25:12,033 Epoch 10 	 Loss 1.5002204402462467
2021-04-11 11:27:31,445 Epoch 11 	 Loss 1.4904274069345915
2021-04-11 11:29:50,875 Epoch 12 	 Loss 1.4828299028532845
2021-04-11 11:32:10,330 Epoch 13 	 Loss 1.4762961857921475
2021-04-11 11:34:29,792 Epoch 14 	 Loss 1.4703030854791075
2021-04-11 11:36:49,197 Epoch 15 	 Loss 1.464622601047977
2021-04-11 11:39:08,594 Epoch 16 	 Loss 1.4586539399492873
2021-04-11 11:41:28,016 Epoch 17 	 Loss 1.453654917386862
2021-04-11 11:43:47,424 Epoch 18 	 Loss 1.4497944843638075
2021-04-11 11:46:06,869 Epoch 19 	 Loss 1.4446173349579612
2021-04-11 11:48:26,302 Epoch 20 	 Loss 1.4415778033025972
2021-04-11 11:50:45,716 Epoch 21 	 Loss 1.4363438519802723
2021-04-11 11:53:05,142 Epoch 22 	 Loss 1.431726628607446
2021-04-11 11:55:24,510 Epoch 23 	 Loss 1.4279606217866416
2021-04-11 11:57:43,930 Epoch 24 	 Loss 1.4240834712982178
2021-04-11 12:00:03,349 Epoch 25 	 Loss 1.421244902925177
2021-04-11 12:02:22,791 Epoch 26 	 Loss 1.4169822322143304
2021-04-11 12:04:42,153 Epoch 27 	 Loss 1.4135515421301454
2021-04-11 12:07:01,595 Epoch 28 	 Loss 1.4094931941766005
2021-04-11 12:09:20,981 Epoch 29 	 Loss 1.4071905724294893
2021-04-11 12:11:40,367 Epoch 30 	 Loss 1.402895993583805
2021-04-11 12:13:59,771 Epoch 31 	 Loss 1.4014828925604348
2021-04-11 12:16:19,117 Epoch 32 	 Loss 1.396770029277592
2021-04-11 12:18:38,604 Epoch 33 	 Loss 1.3929941424956689
2021-04-11 12:20:58,093 Epoch 34 	 Loss 1.390400726716597
2021-04-11 12:23:17,483 Epoch 35 	 Loss 1.3863240166024848
2021-04-11 12:25:36,883 Epoch 36 	 Loss 1.3837969178681846
2021-04-11 12:27:56,366 Epoch 37 	 Loss 1.3799473204455532
2021-04-11 12:30:15,827 Epoch 38 	 Loss 1.3788750774257785
2021-04-11 12:32:35,241 Epoch 39 	 Loss 1.3732245302462316
2021-04-11 12:34:54,711 Epoch 40 	 Loss 1.3713736088721307
2021-04-11 12:37:14,128 Epoch 41 	 Loss 1.369392556148571
2021-04-11 12:39:33,552 Epoch 42 	 Loss 1.3672741599135347
2021-04-11 12:41:52,942 Epoch 43 	 Loss 1.3638667274307419
2021-04-11 12:44:12,371 Epoch 44 	 Loss 1.3597103082216704
2021-04-11 12:46:31,766 Epoch 45 	 Loss 1.3581095436117152
2021-04-11 12:48:51,185 Epoch 46 	 Loss 1.3555204763517275
2021-04-11 12:51:10,692 Epoch 47 	 Loss 1.3522824933240702
2021-04-11 12:53:30,184 Epoch 48 	 Loss 1.3488769773598557
2021-04-11 12:55:49,641 Epoch 49 	 Loss 1.34685917870029
2021-04-11 12:58:09,230 Epoch 50 	 Loss 1.3433186667306083
2021-04-11 13:00:28,791 Epoch 51 	 Loss 1.3427517597491925
2021-04-11 13:02:48,397 Epoch 52 	 Loss 1.3385720344690175
2021-04-11 13:05:08,057 Epoch 53 	 Loss 1.3348591419366689
2021-04-11 13:07:27,914 Epoch 54 	 Loss 1.33303371825061
2021-04-11 14:08:44,748 Epoch 0 	 Loss 1.5259872393293694
2021-04-11 14:10:27,031 Epoch 1 	 Loss 1.5150590303179983
2021-04-11 14:51:03,496 Epoch 0 	 Loss 1.5433476868566576
2021-04-11 14:52:44,898 Epoch 1 	 Loss 1.524260041477916
2021-04-11 14:54:27,135 Epoch 2 	 Loss 1.5098608136177063
2021-04-11 14:56:09,072 Epoch 3 	 Loss 1.4963901835483508
2021-04-11 14:57:51,544 Epoch 4 	 Loss 1.4875771029964908
2021-04-11 14:59:34,408 Epoch 5 	 Loss 1.4797471388355716
2021-04-11 15:01:16,783 Epoch 6 	 Loss 1.4719925208406135
2021-04-11 15:02:59,728 Epoch 7 	 Loss 1.465695742722396
2021-04-11 15:04:41,978 Epoch 8 	 Loss 1.4603150526245872
2021-04-11 15:09:49,757 Epoch 0 	 Loss 1.5721761617031726
