2021-04-15 22:29:02,614 Epoch 0 	 Loss 1.1064860745445713
2021-04-15 22:32:05,525 Epoch 1 	 Loss 0.9622387227776287
2021-04-15 22:35:10,743 Epoch 2 	 Loss 0.8785285350385603
2021-04-15 22:38:17,577 Epoch 3 	 Loss 0.813642966223287
2021-04-15 22:41:21,584 Epoch 4 	 Loss 0.7585359400772786
2021-04-15 22:44:24,921 Epoch 5 	 Loss 0.7057682251209741
2021-04-15 22:47:31,306 Epoch 6 	 Loss 0.6485287768172694
2021-04-15 22:50:33,312 Epoch 7 	 Loss 0.6069800760392304
2021-04-15 22:53:36,661 Epoch 8 	 Loss 0.57175808768351
2021-04-15 22:56:39,194 Epoch 9 	 Loss 0.5364818987283078
2021-04-15 22:59:42,271 Epoch 10 	 Loss 0.5009501759003807
2021-04-15 23:02:44,551 Epoch 11 	 Loss 0.47377278532955674
2021-04-15 23:05:45,623 Epoch 12 	 Loss 0.4463392647576856
2021-04-15 23:08:47,057 Epoch 13 	 Loss 0.4309309299339305
2021-04-15 23:11:46,119 Epoch 14 	 Loss 0.39850278485279816
2021-04-15 23:14:45,494 Epoch 15 	 Loss 0.3886085595567148
2021-04-15 23:17:44,482 Epoch 16 	 Loss 0.35318178683519363
2021-04-15 23:20:43,929 Epoch 17 	 Loss 0.33375142711204486
2021-04-15 23:23:42,750 Epoch 18 	 Loss 0.3201998797255558
2021-04-15 23:26:41,578 Epoch 19 	 Loss 0.2841225396637078
2021-04-15 23:29:40,380 Epoch 20 	 Loss 0.27585004581199896
2021-04-15 23:32:39,412 Epoch 21 	 Loss 0.2526570561004209
2021-04-15 23:35:38,588 Epoch 22 	 Loss 0.24311598963462389
2021-04-15 23:38:38,041 Epoch 23 	 Loss 0.25158079701301816
2021-04-15 23:41:37,117 Epoch 24 	 Loss 0.20319660278139534
2021-04-15 23:44:36,295 Epoch 25 	 Loss 0.19357387459540104
2021-04-15 23:47:35,106 Epoch 26 	 Loss 0.18782672965592082
2021-04-15 23:50:34,041 Epoch 27 	 Loss 0.16419507984767903
2021-04-15 23:53:32,894 Epoch 28 	 Loss 0.16308827763730352
2021-04-15 23:56:31,914 Epoch 29 	 Loss 0.162967081703655
2021-04-15 23:59:31,138 Epoch 30 	 Loss 0.16470043795121894
2021-04-16 00:02:29,953 Epoch 31 	 Loss 0.14659186935686802
2021-04-16 00:05:28,716 Epoch 32 	 Loss 0.14016442504394186
2021-04-16 00:08:27,779 Epoch 33 	 Loss 0.13199602104314082
2021-04-16 00:11:26,887 Epoch 34 	 Loss 0.12490637322048564
2021-04-16 00:14:26,039 Epoch 35 	 Loss 0.11572117645006913
2021-04-16 00:17:25,232 Epoch 36 	 Loss 0.11923830448598652
2021-04-16 00:20:24,164 Epoch 37 	 Loss 0.10886726630749283
2021-04-16 00:23:23,189 Epoch 38 	 Loss 0.11526866179409918
2021-04-16 00:26:22,521 Epoch 39 	 Loss 0.11165335921795813
2021-04-16 00:29:21,421 Epoch 40 	 Loss 0.10160583945421073
2021-04-16 00:32:20,313 Epoch 41 	 Loss 0.09832175354381184
2021-04-16 00:35:19,332 Epoch 42 	 Loss 0.11023858451581263
2021-04-16 00:38:18,345 Epoch 43 	 Loss 0.11108883560358823
2021-04-16 00:41:17,375 Epoch 44 	 Loss 0.09299060460794104
2021-04-16 00:44:16,535 Epoch 45 	 Loss 0.08488798423946559
2021-04-16 00:47:15,639 Epoch 46 	 Loss 0.08031651508677137
2021-04-16 00:50:14,714 Epoch 47 	 Loss 0.07824070025030729
2021-04-16 00:53:13,584 Epoch 48 	 Loss 0.076203812118415
2021-04-16 00:56:12,396 Epoch 49 	 Loss 0.07408141786908055
2021-04-16 00:59:11,470 Epoch 50 	 Loss 0.0732782189990138
2021-04-16 01:02:10,685 Epoch 51 	 Loss 0.07397136757416385
2021-04-16 01:05:09,604 Epoch 52 	 Loss 0.0682848003170975
2021-04-16 01:08:08,678 Epoch 53 	 Loss 0.06611924008517475
2021-04-16 01:11:07,749 Epoch 54 	 Loss 0.06591509773836031
2021-04-16 01:14:06,608 Epoch 55 	 Loss 0.06321310818932213
2021-04-16 01:17:05,904 Epoch 56 	 Loss 0.06108180896102727
2021-04-16 01:20:04,935 Epoch 57 	 Loss 0.058776370178048425
2021-04-16 01:23:04,002 Epoch 58 	 Loss 0.05791225617976634
2021-04-16 01:26:02,985 Epoch 59 	 Loss 0.056817756576852486
2021-04-16 01:29:02,112 Epoch 60 	 Loss 0.05534954410005402
2021-04-16 01:32:01,138 Epoch 61 	 Loss 0.05410011423813118
2021-04-16 01:35:00,123 Epoch 62 	 Loss 0.05178057031890193
2021-04-16 01:37:59,009 Epoch 63 	 Loss 0.050854959371653234
2021-04-16 01:40:58,222 Epoch 64 	 Loss 0.051258487156131766
2021-04-16 01:43:57,180 Epoch 65 	 Loss 0.048786806188278145
2021-04-16 01:46:56,123 Epoch 66 	 Loss 0.048222321280083816
2021-04-16 01:49:55,301 Epoch 67 	 Loss 0.0464069786798823
2021-04-16 01:52:54,541 Epoch 68 	 Loss 0.04588309216957826
2021-04-16 01:55:53,700 Epoch 69 	 Loss 0.04702419556349843
2021-04-16 01:58:52,830 Epoch 70 	 Loss 0.0442144032977112
2021-04-16 02:01:52,157 Epoch 71 	 Loss 0.04288852816590896
2021-04-16 02:04:51,108 Epoch 72 	 Loss 0.04251223825082019
2021-04-16 02:07:50,258 Epoch 73 	 Loss 0.042468981796896066
2021-04-16 02:10:49,318 Epoch 74 	 Loss 0.04079236161823456
2021-04-16 02:13:48,731 Epoch 75 	 Loss 0.04021444920818884
2021-04-16 02:16:47,680 Epoch 76 	 Loss 0.04043459970053736
2021-04-16 02:19:46,737 Epoch 77 	 Loss 0.03925544805415384
2021-04-16 02:22:45,843 Epoch 78 	 Loss 0.03855698089023213
2021-04-16 02:25:45,037 Epoch 79 	 Loss 0.042383593415002245
2021-04-16 02:28:43,953 Epoch 80 	 Loss 0.0378101037221623
2021-04-16 02:31:43,156 Epoch 81 	 Loss 0.03760958757701811
2021-04-16 02:34:42,307 Epoch 82 	 Loss 0.03704778661767205
2021-04-16 02:37:41,299 Epoch 83 	 Loss 0.036724278437239785
2021-04-16 02:40:40,528 Epoch 84 	 Loss 0.03703817536870202
2021-04-16 02:43:39,428 Epoch 85 	 Loss 0.03794968312421998
2021-04-16 02:46:38,636 Epoch 86 	 Loss 0.03624141052529052
2021-04-16 02:49:37,642 Epoch 87 	 Loss 0.03597769018385436
2021-04-16 02:52:36,795 Epoch 88 	 Loss 0.035649177546684556
2021-04-16 02:55:35,638 Epoch 89 	 Loss 0.035591548308730125
2021-04-16 02:58:34,712 Epoch 90 	 Loss 0.035465872631623194
