2021-04-27 22:19:52,746 Epoch 0 	 Loss 1.0232659198425629
2021-04-27 22:20:27,302 Epoch 1 	 Loss 0.6522356733516023
2021-04-27 22:21:02,286 Epoch 2 	 Loss 0.4530170618832766
2021-04-27 22:21:36,960 Epoch 3 	 Loss 0.3356498941615388
2021-04-27 22:22:12,047 Epoch 4 	 Loss 0.26578740579086346
2021-04-27 22:22:47,849 Epoch 5 	 Loss 0.22395485901570583
2021-04-27 22:23:22,890 Epoch 6 	 Loss 0.19673972028297382
2021-04-27 22:23:58,170 Epoch 7 	 Loss 0.1770863468339155
2021-04-27 22:24:33,392 Epoch 8 	 Loss 0.15071323448485072
2021-04-27 22:25:08,385 Epoch 9 	 Loss 0.12982551335960954
2021-04-27 22:25:43,441 Epoch 10 	 Loss 0.11631272782336224
