2021-04-18 02:41:08,349 Epoch 0 	 Loss 0.5960681304171845
2021-04-18 02:41:52,573 Epoch 1 	 Loss 0.32276992139580485
2021-04-18 02:42:36,784 Epoch 2 	 Loss 0.24660345551731822
2021-04-18 02:43:21,013 Epoch 3 	 Loss 0.21326739701268438
2021-04-18 02:44:05,222 Epoch 4 	 Loss 0.17611738810172448
2021-04-18 02:44:49,432 Epoch 5 	 Loss 0.16125202891263332
2021-04-18 02:45:33,635 Epoch 6 	 Loss 0.14058517238923482
2021-04-18 02:46:17,863 Epoch 7 	 Loss 0.1441535865376284
2021-04-18 02:47:02,104 Epoch 8 	 Loss 0.12203786939710051
2021-04-18 02:47:46,307 Epoch 9 	 Loss 0.1058976904458397
2021-04-18 02:48:30,520 Epoch 10 	 Loss 0.09566385777933258
2021-04-18 02:49:14,698 Epoch 11 	 Loss 0.08806769967406661
2021-04-18 02:49:58,898 Epoch 12 	 Loss 0.0826974908237929
2021-04-18 02:50:43,116 Epoch 13 	 Loss 0.0786097557744482
2021-04-18 02:51:27,301 Epoch 14 	 Loss 0.07809582061983728
2021-04-18 02:52:11,477 Epoch 15 	 Loss 0.0727623980901726
2021-04-18 02:52:55,660 Epoch 16 	 Loss 0.09154217268575679
2021-04-18 02:53:39,841 Epoch 17 	 Loss 0.1778836373935689
2021-04-18 02:54:24,027 Epoch 18 	 Loss 0.10995601174923089
2021-04-18 02:55:08,258 Epoch 19 	 Loss 0.0819321588746139
2021-04-18 02:55:52,462 Epoch 20 	 Loss 0.06998113784324991
2021-04-18 02:56:36,650 Epoch 21 	 Loss 0.06372492729716904
2021-04-18 02:57:20,886 Epoch 22 	 Loss 0.06038589415314433
2021-04-18 02:58:05,081 Epoch 23 	 Loss 0.058442946687176985
2021-04-18 02:58:49,236 Epoch 24 	 Loss 0.05688595436104051
2021-04-18 02:59:33,442 Epoch 25 	 Loss 0.05771330965089274
2021-04-18 03:00:17,668 Epoch 26 	 Loss 0.05543862502244148
2021-04-18 03:01:01,891 Epoch 27 	 Loss 0.05354125556218755
2021-04-18 03:01:46,070 Epoch 28 	 Loss 0.05244650722450608
2021-04-18 03:02:30,274 Epoch 29 	 Loss 0.051635231679448716
2021-04-18 03:03:14,460 Epoch 30 	 Loss 0.05092211953968137
2021-04-18 03:03:58,686 Epoch 31 	 Loss 0.050617846343052254
2021-04-18 03:04:42,870 Epoch 32 	 Loss 0.05063767039350101
2021-04-18 03:05:27,080 Epoch 33 	 Loss 0.04982436988707427
2021-04-18 03:06:11,267 Epoch 34 	 Loss 0.04871229149892435
2021-04-18 03:06:55,481 Epoch 35 	 Loss 0.04878393010041871
2021-04-18 03:07:39,669 Epoch 36 	 Loss 0.04832625172131664
2021-04-18 03:08:23,900 Epoch 37 	 Loss 0.04759145429828665
2021-04-18 03:09:08,122 Epoch 38 	 Loss 0.04703526534549483
2021-04-18 03:09:52,303 Epoch 39 	 Loss 0.04659530305518554
2021-04-18 03:10:36,455 Epoch 40 	 Loss 0.046060714072414806
2021-04-18 03:11:20,674 Epoch 41 	 Loss 0.045351098383684736
2021-04-18 03:12:04,871 Epoch 42 	 Loss 0.045633482306704415
2021-04-18 03:12:49,049 Epoch 43 	 Loss 0.10300391910413464
2021-04-18 03:13:33,278 Epoch 44 	 Loss 0.08697164466011
2021-04-18 03:14:17,498 Epoch 45 	 Loss 0.0593850696766442
2021-04-18 03:15:01,683 Epoch 46 	 Loss 0.04803461168002296
2021-04-18 03:15:45,902 Epoch 47 	 Loss 0.0446338399958152
2021-04-18 03:16:30,082 Epoch 48 	 Loss 0.04320585999924403
2021-04-18 03:17:14,243 Epoch 49 	 Loss 0.04226293171254488
2021-04-18 03:17:58,435 Epoch 50 	 Loss 0.04159697040833615
2021-04-18 03:18:42,627 Epoch 51 	 Loss 0.04253765083030685
2021-04-18 03:19:26,798 Epoch 52 	 Loss 0.04184065570870599
2021-04-18 03:20:10,976 Epoch 53 	 Loss 0.041247751318163925
2021-04-18 03:20:55,128 Epoch 54 	 Loss 0.040799680892582776
2021-04-18 03:21:39,320 Epoch 55 	 Loss 0.04046110450648344
2021-04-18 03:22:23,495 Epoch 56 	 Loss 0.0403034547241507
2021-04-18 03:23:07,713 Epoch 57 	 Loss 0.040137697522948074
2021-04-18 03:23:51,906 Epoch 58 	 Loss 0.040055613207456826
2021-04-18 03:24:36,110 Epoch 59 	 Loss 0.03987883340444539
2021-04-18 03:25:20,325 Epoch 60 	 Loss 0.039778711867856455
2021-04-18 03:26:04,521 Epoch 61 	 Loss 0.039645039957467015
2021-04-18 03:26:48,711 Epoch 62 	 Loss 0.03955920677181784
2021-04-18 03:27:32,932 Epoch 63 	 Loss 0.039428165898873255
2021-04-18 03:28:17,124 Epoch 64 	 Loss 0.03922754884339296
2021-04-18 03:29:01,353 Epoch 65 	 Loss 0.03900430482494962
2021-04-18 03:29:45,583 Epoch 66 	 Loss 0.038867721968627235
2021-04-18 03:30:29,794 Epoch 67 	 Loss 0.03879616505742728
2021-04-18 03:31:14,023 Epoch 68 	 Loss 0.03877972905616184
2021-04-18 03:31:58,229 Epoch 69 	 Loss 0.039454636931583124
2021-04-18 03:32:42,425 Epoch 70 	 Loss 0.038546805791966204
2021-04-18 03:33:26,646 Epoch 71 	 Loss 0.03832414193631529
2021-04-18 03:34:10,822 Epoch 72 	 Loss 0.038142249233775086
2021-04-18 03:34:55,033 Epoch 73 	 Loss 0.03809089264781265
2021-04-18 03:35:39,239 Epoch 74 	 Loss 0.03800836375372096
2021-04-18 03:36:23,492 Epoch 75 	 Loss 0.037871868339377446
2021-04-18 03:37:07,675 Epoch 76 	 Loss 0.03779784499943911
2021-04-18 03:37:51,877 Epoch 77 	 Loss 0.037750747361844715
2021-04-18 03:38:36,066 Epoch 78 	 Loss 0.037624777775708135
2021-04-18 03:39:20,290 Epoch 79 	 Loss 0.03756874981899183
2021-04-18 03:40:04,491 Epoch 80 	 Loss 0.03750014552785145
2021-04-18 03:40:48,654 Epoch 81 	 Loss 0.03770436981058383
2021-04-18 03:41:32,820 Epoch 82 	 Loss 0.03739097718517859
2021-04-18 03:42:17,002 Epoch 83 	 Loss 0.03741506972237603
2021-04-18 03:43:01,181 Epoch 84 	 Loss 0.03735991413858566
2021-04-18 03:43:45,379 Epoch 85 	 Loss 0.03727012127637863
2021-04-18 03:44:29,526 Epoch 86 	 Loss 0.03720866950167404
2021-04-18 03:45:13,725 Epoch 87 	 Loss 0.03715136823254627
2021-04-18 03:45:57,912 Epoch 88 	 Loss 0.03713026984625465
2021-04-18 03:46:42,123 Epoch 89 	 Loss 0.0371244424278592
2021-04-18 03:47:26,331 Epoch 90 	 Loss 0.037038817940341244
2021-04-18 03:48:10,539 Epoch 91 	 Loss 0.03704679775778409
2021-04-18 03:48:54,721 Epoch 92 	 Loss 0.037033608592637296
2021-04-18 03:49:38,963 Epoch 93 	 Loss 0.03704777132760692
2021-04-18 03:50:23,170 Epoch 94 	 Loss 0.03699936017721564
2021-04-18 03:51:07,392 Epoch 95 	 Loss 0.03700967163748139
2021-04-18 03:51:51,598 Epoch 96 	 Loss 0.03698671637819363
2021-04-18 03:52:35,786 Epoch 97 	 Loss 0.037010436836671046
2021-04-18 03:53:20,004 Epoch 98 	 Loss 0.03702117521111127
2021-04-18 03:54:04,205 Epoch 99 	 Loss 0.03698063052290088
